№,название,цена,мелкий опт,вес
,Брюшки лосося ,1264,1074,3
,Вобла,961,845,1
,Вобла с/м пласт,2781,2447,3
,Горбуша б/г ,534,469,1
,Горбуша н/р ,693,595,2
,Горбуша ПСГ ,712,633,1
,Горбуша х/к спинка,2442,2148,2
,Горбуша х/к теша,2209,1899,4
,Горбуша х/к филе,3652,3104,3
,Горбуша х/к филе в/у,557,495,1
,Густера,3684,3278,3
,Жерих,516,438,1
,Кальмар тушка ,4756,4090,4
,Камбала б/г б/б ,1012,900,1
,Камбала вял б/г,4847,4168,4
,Камбала н/р б/б ,785,698,1
,Карась,981,833,1
,Карась средний,1906,1658,3
,Карп х/к пласт,1818,1581,2
,Кета с/с ,2280,1960,4
,Кета х/к теша,2492,2192,2
,Кета х/к филе,1987,1728,3
,Кижуч б/г ,3823,3249,4
,Килька п/п ,130,110,1
,Килька тушка с аром. копчения,1997,1777,2
,Корюшка вял. н/р,1242,1105,4
,Корюшка с/м ,871,766,3
,Краснопёрка,1585,1410,2
,Креветка королевская с/г,1017,874,1
,Креветки лангустины б/г ,994,874,4
,Креветки лангустины с/г,3619,3148,3
,Лещ вял. н/р,3762,3348,3
,Лещ вял. потр,1448,1259,1
,Лещ с/м ,1758,1529,3
,Минтай б/г,2178,1916,3
,Минтай б/г,201,174,1
,Мойва атл. н/р ,4026,3502,3
,Мойва вял. н/п,1544,1343,2
,Мойва тушка в масле с аром. копчения,889,755,1
,Мойва тушка в масле с чесноком и  укропом,339,301,2
,Окунь,428,380,2
,Окунь б/г,1092,928,1
,Пелядь с/с,2081,1810,2
,Плотва  вял.н/р,2646,2354,3
,Плотва х/к потр,3124,2717,3
,Путассу  х/к потр,1878,1596,2
,Ряпушка с/м,1190,1035,2
,Сазан с кожей,844,751,4
,Сельдь олют с/с,1552,1350,2
,Сельдь т/о п/п,1912,1701,2
,Сельдь т/о с/с,427,375,2
,Сельдь т/о х/к  в\у,4896,4210,4
,Сзан,191,164,1
,Скумбрия атл. с/г,2185,1857,2
,Скумбрия н/р с/с,2310,1986,4
,Скумбрия х/к с/г,172,147,1
,Сом с кожей,1329,1142,3
,Терпуг н/р,504,438,1
,Треска б/г,3021,2628,4
,Филе гигантского кальмара ,617,536,1
,Филе масляной н/ш ,4795,4219,4
,Филе минтая б/ш б/к,535,454,4
,Филе минтая н/ш б/к ,523,449,1
,Филе судака н/ш ,4015,3452,3
,Филе тилапии б/ш ,3227,2807,3
,Форель б/г,3582,3044,4
,Форель с/м н/р ,2423,2083,2
,Форель х/к балык (речн.),1333,1133,3
,Форель х/к пласт (речн. крупная),294,258,2
,Форель х/к теша (речн.),3628,3120,4
,Хек тушка ,2858,2429,3
,Хек тушка ,1247,1109,4
,Щука  вял.кусок,892,793,3
,Щука  вял.потр,1268,1103,2
,Щука без кожи,946,823,4
,Щука без кожи,2218,1907,2
,Язь х/к пласт,3532,3037,3
