товар,цена,опт,масса
Брюшки лосося ,834,725,2
Горбуша б/г ,597,519,1
Горбуша г/к кусок,5171,4498,4
Горбуша н/р ,717,638,2
Горбуша ПСГ ,2035,1811,3
Горбуша х/к тушка,452,388,1
Горбуша х/к филе,3259,2802,3
Горбуша х/к филе в/у,2564,2230,4
Горбуша х\к теша в\у,2678,2329,3
Жерих,2180,1874,4
Зубатка пестрая б/г ,1131,1006,1
Камбала б/г б/б ,4007,3446,4
Камбала н/р б/б ,1571,1351,2
Камбала н/р б/б ,218,187,1
Камбала х/к б/г,423,359,1
Карась,927,806,1
Карась средний,1231,1070,2
Карп с/м ,516,443,1
Карп х/к пласт,960,844,1
Кижуч б/г ,2932,2550,3
Краснопёрка,766,674,1
Красноперка с/м,2792,2401,3
Креветка королевская с/г,2173,1847,2
Креветки лангустины с/г,1246,1059,1
Лещ,1451,1276,4
Лещ вял. н/р,1366,1202,1
Лещ вял. потр,4075,3626,3
Лещ с/м ,1119,962,3
Лещ с/м ,2652,2360,4
Лещ х/к пласт,2519,2241,2
Масляная х/к филе,4905,4218,4
Минтай б/г,1912,1682,3
Минтай б/г,2283,1986,3
Мойва атл. н/р ,1269,1091,1
Мойва п/п,4217,3710,4
Мойва т/о,1288,1094,2
Мойва тушка в масле с аром. копчения,989,850,1
Мойва тушка в масле с луком,2143,1842,2
Мойва х/к,933,811,1
Мясо хека (колбаса),691,601,2
Окунь,616,523,3
Окунь вял. н/р,3598,3130,4
Пелядь крупная х/к потр,588,517,2
Пелядь с/с,3557,3059,3
Ряпушка с/м,2681,2278,4
Ряпушка х/к  3кг,1023,900,1
Сайра х/к,1660,1427,2
Сельдь атл. с/с,1696,1441,4
Сельдь олют. п/п,4247,3737,4
Сельдь т/о п/п,3513,3126,3
Сельдь т/о х/к  в\у,4562,3968,4
Сельдь х/к олюторская,4737,4073,4
Семга с\с брюшки,1584,1378,3
Скумбрия атл. с/г,970,824,1
Скумбрия х/к с/г,570,484,4
Сом балычный потрошеный,4348,3869,4
Сом потрошеный,3158,2810,3
Сом с кожей,469,417,1
Судак,4081,3591,3
Судак крупный ,1479,1316,3
Терпуг н/р,1586,1348,3
Филе гигантского кальмара ,683,594,1
Филе минтая б/ш б/к,145,127,1
Филе сазана ,2998,2608,3
Филе судака н/ш ,2762,2375,2
Филе тилапии б/ш ,2051,1763,2
Форель б/г,895,769,1
Форель г/к потр,3648,3246,3
Форель с/м н/р ,1047,889,1
Форель х/к балык (речн.),1759,1495,4
Форель х/к теша (речн.),2509,2182,3
Щука  вял.кусок,329,292,1
Щука  вял.потр,1313,1168,2
Щука без кожи,904,786,4
Щука вял н/р,890,792,3
Щука х/к филе с насечкой,2581,2219,2
Язь х/к пласт,3371,3000,3
