наименование,цена,опт,вес
Брюшки лосося ,1562,1358,4
Вобла с/м пласт,978,870,1
Горбуша г/к кусок,4056,3488,3
Горбуша ПСГ ,1373,1208,2
Горбуша с/с ,1818,1618,3
Горбуша х/к спинка,3312,2914,3
Горбуша х/к теша,983,865,2
Горбуша х/к тушка,1050,913,2
Горбуша х/к филе,4869,4187,4
Горбуша х/к филе в/у,2314,2059,4
Горбуша х\к теша в\у,1599,1391,2
Густера,5664,4927,4
Жерих,1995,1775,4
Зубатка пестрая б/г ,4154,3613,4
Камбала б/г ж/п ,2182,1941,3
Камбала вял б/г,3898,3352,3
Камбала н/р б/б ,2818,2423,4
Карась средний,1628,1383,3
Карп с/м ,1021,898,2
Карп х/к пласт,1921,1652,2
Кета х/к теша,3360,2990,3
Кета х\к теша в/у,1332,1172,3
Кефаль с/м ,3489,3105,4
Кижуч б/г ,3028,2694,3
Килька тушка с аром. копчения,2720,2420,3
Килька тушка с чесноком укропом,2523,2245,4
Корюшка с/м ,934,812,3
Краснопёрка,873,768,1
Красноперка с/м,2698,2347,3
Креветка королевская с/г,994,874,1
Креветки лангустины б/г ,461,396,2
Креветки тигровые б/г ,1672,1488,2
Лещ вял. потр,5076,4365,4
Лещ с/м ,746,641,2
Лещ с/м ,1284,1129,2
Лещ х/к пласт,1232,1071,1
Линь,1999,1779,2
Масляная х/к филе,2452,2084,2
Минтай б/г,644,553,1
Минтай б/г,3010,2558,4
Минтай б/г,397,341,2
Мойва атл. н/р ,1400,1218,1
Мойва н/р ,3771,3205,4
Мойва п/п,3066,2636,3
Мойва тушка в масле с аром. копчения,1023,910,1
Мойва тушка в масле с чесноком и  укропом,318,279,2
Мойва х/к,3953,3399,4
Мясо хека (колбаса),308,264,1
Окунь,550,473,3
Палтус б/г,900,765,3
Пелядь крупная х/к потр,609,523,2
Плотва х/к потр,4210,3620,4
Путассу  х/к потр,1028,914,1
Ряпушка вял н/р,492,437,4
Ряпушка с/м,2188,1947,4
Ряпушка х/к  3кг,2359,2099,2
Сайра х/к,1643,1396,2
Сельдь атл. п/п,1919,1688,3
Сельдь олют с/с,1601,1360,2
Сельдь олют. п/п,4351,3741,4
Сельдь х/к олюторская,4906,4366,4
Сельдь х/к т/о,1562,1390,3
Скумбрия атл. с/г,4147,3690,4
Скумбрия г/к потр,4087,3514,4
Скумбрия н/р с/с,503,447,1
Скумбрия х/к б/г,472,420,1
Скумбрия х/к с/г,427,367,3
Скумбрия х\к в\у с/г,1085,954,3
Сом с кожей,971,844,2
Терпуг н/р,1694,1507,3
Треска б/г,2142,1842,3
Филе масляной н/ш ,2370,2038,2
Филе минтая б/ш б/к,139,118,1
Филе минтая н/ш б/к ,2046,1739,4
Филе пангасиуса б/ш ,405,356,4
Филе судака н/ш ,1395,1185,1
Филе судака н/ш ,1812,1612,2
Филе тилапии б/ш ,2151,1892,2
Форель б/г,795,683,1
Форель с/с кусок,2616,2223,3
Форель х/к балык (речн.),927,797,2
Форель х/к пласт (речн. крупная),148,128,1
Форель х/к теша (речн.),1713,1490,2
Щука  вял.потр,2597,2207,4
Щука без кожи,4165,3623,4
Щука с/м средн,3325,2926,3
Щука х/к филе с насечкой,1276,1135,1
Язь х/к пласт,2381,2071,2
