номер,название,вес,цена,опт
1,Брюшки лосося ,4,1668,1484
2,Вобла с/м пласт,3,3028,2634
3,Горбуша г/к кусок,2,2407,2045
4,Горбуша с/с ,4,2089,1817
5,Горбуша х/к тушка,4,2012,1770
6,Горбуша х/к филе,1,1217,1070
7,Горбуша х/к филе в/у,3,1902,1673
8,Горбуша х\к теша в\у,4,3199,2847
9,Густера,1,1372,1179
10,Кальмар тушка ,3,3420,2975
11,Камбала б/г б/б ,2,1938,1666
12,Камбала вял б/г,1,1357,1153
13,Камбала н/р б/б ,1,793,674
14,Камбала х/к б/г,1,473,402
15,Карась средний,2,1098,933
16,Карп с/м ,3,1514,1302
17,Карп х/к пласт,3,2727,2317
18,Кета с/с ,3,1443,1240
19,Кета х/к теша,1,1246,1084
20,Кета х/к филе,3,2306,2052
21,Кета х\к теша в/у,2,858,737
22,Кижуч б/г ,4,4124,3546
23,Килька каспийская,3,561,493
24,Килька тушка с аром. копчения,2,1650,1402
25,Килька тушка с чесноком укропом,3,1982,1684
26,Корюшка вял. н/р,3,798,702
27,Корюшка с/м ,2,637,541
28,Корюшка х/к,1,979,832
29,Краснопёрка,4,2993,2573
30,Красноперка с/м,3,2604,2239
31,Креветки лангустины б/г ,2,476,404
32,Креветки лангустины с/г,2,2386,2028
33,Креветки тигровые б/г ,3,2508,2207
34,Лещ,1,343,305
35,Лещ вял. н/р,3,3508,3051
36,Лещ с/м ,1,373,331
37,Лещ с/м ,3,1779,1583
38,Лещ х/к пласт,1,1232,1059
39,Линь,3,2928,2547
40,Минтай б/г,4,2363,2008
41,Минтай б/г,2,416,370
42,Мойва атл. н/р ,3,3983,3425
43,Мойва вял. н/п,2,1496,1286
44,Мойва н/р ,2,1955,1720
45,Мойва п/п,3,2808,2471
46,Мойва тушка в масле с аром. копчения,2,2023,1780
47,Мойва тушка в масле с чесноком и  укропом,1,155,134
48,Мясо хека (колбаса),2,616,523
49,Окунь,2,362,318
50,Окунь б/г,3,3040,2705
51,Пикша б/г ,4,3339,2938
52,Плотва  вял.н/р,3,2768,2352
53,Плотва х/к потр,1,897,789
54,Ряпушка вял н/р,1,119,104
55,Сазан с кожей,4,982,844
56,Сельдь атл. п/п,1,616,535
57,Сельдь олют с/с,1,776,667
58,Сельдь олют. п/п,1,1139,968
59,Сельдь т/о п/п,1,1111,977
60,Сельдь т/о с/с,4,793,689
61,Сельдь т/о х/к  в\у,3,3797,3265
62,Семга с\с брюшки,1,522,448
63,Сзан,3,561,493
64,Скумбрия атл. с/г,1,892,776
65,Скумбрия н/р с/с,3,1769,1539
66,Скумбрия х/к с/г,2,323,284
67,Скумбрия х\к в\у с/г,2,701,595
68,Сом балычный потрошеный,1,1182,1016
69,Толстолобик с/м,3,1681,1479
70,Филе горбуши н/ш,4,3585,3154
71,Филе масляной н/ш ,4,4848,4217
72,Филе минтая н/ш б/к ,1,493,428
73,Филе судака н/ш ,3,3673,3232
74,Форель г/к потр,3,3040,2705
75,Форель с/м н/р ,1,1009,887
76,Форель с/с кусок,1,882,767
77,Форель х/к балык (речн.),4,1816,1543
78,Форель х/к пласт (речн. крупная),1,147,124
79,Хек тушка ,2,2286,1965
80,Хек тушка ,2,631,555
81,Щука  вял.кусок,1,339,301
82,Щука х/к филе с насечкой,3,4036,3511
