,,продукт,цена,цена опт,масса
,,Брюшки лосося ,702,610,2
,,Горбуша б/г ,2239,1903,4
,,Горбуша н/р ,740,643,2
,,Горбуша с/с ,1173,1008,2
,,Горбуша х/к теша,971,864,2
,,Горбуша х/к филе в/у,1143,982,2
,,Горбуша х\к спинка в\у,2660,2261,4
,,Горбуша х\к теша в\у,3422,2977,4
,,Густера,4624,4069,4
,,Зубатка пестрая б/г ,1867,1624,2
,,Камбала н/р б/б ,688,598,1
,,Камбала н/р б/б ,411,353,2
,,Камбала х/к б/г,1285,1143,3
,,Карась потрошенный тушка (б/г,392,348,2
,,Карп с/м ,2183,1899,4
,,Карп х/к пласт,857,745,1
,,Кета х/к филе,2683,2307,4
,,Кефаль с/м ,2532,2253,3
,,Кижуч б/г ,1041,884,1
,,Килька каспийская,481,423,3
,,Килька тушка с аром. копчения,2629,2234,3
,,Корюшка х/к,883,768,1
,,Краснопёрка,1514,1302,2
,,Красноперка с/м,1715,1474,2
,,Креветки лангустины с/г,2148,1890,2
,,Креветки тигровые б/г ,1652,1420,2
,,Лещ,718,617,2
,,Лещ вял. н/р,1282,1140,1
,,Лещ вял. потр,2687,2364,2
,,Масляная х/к филе,1212,1078,1
,,Минтай б/г,2940,2557,4
,,Минтай б/г,889,782,4
,,Мойва атл. н/р ,4201,3654,3
,,Мойва вял. н/п,636,553,1
,,Мойва н/р ,2793,2457,3
,,Мойва п/п,1743,1498,2
,,Мойва т/о,1361,1211,2
,,Мойва тушка в масле с чесноком и  укропом,318,283,2
,,Пелядь крупная х/к потр,1134,986,4
,,Пелядь с/с,1936,1723,2
,,Путассу  х/к потр,983,835,1
,,Путассу н/р,1001,860,2
,,Ряпушка вял н/р,133,114,1
,,Ряпушка с/м,2681,2305,4
,,Ряпушка х/к  3кг,4719,4152,4
,,Сайра х/к,778,661,1
,,Сельдь атл. п/п,1464,1244,2
,,Сельдь атл. с/с,970,824,2
,,Сельдь олют с/с,3006,2585,4
,,Сельдь олют. п/п,4765,4240,4
,,Сельдь т/о с/с,189,164,1
,,Семга с\с брюшки,522,464,1
,,Сзан,357,314,2
,,Скумбрия н/р с/с,1788,1591,3
,,Сом потрошеный,3763,3349,4
,,Судак,1405,1222,1
,,Треска б/г,1428,1256,2
,,Филе гигантского кальмара ,1381,1215,2
,,Филе масляной н/ш ,4422,3847,4
,,Филе пангасиуса б/ш ,92,79,1
,,Филе судака н/ш ,3972,3455,3
,,Филе тилапии б/ш ,4903,4167,4
,,Форель б/г,822,698,1
,,Форель с/с кусок,987,868,1
,,Форель х/к балык (речн.),1333,1146,3
,,Хек тушка ,1905,1676,2
,,Хек тушка ,891,766,3
,,Щука  вял.кусок,630,554,2
,,Щука без кожи,436,379,2
,,Щука без кожи,3158,2747,3
,,Щука вял н/р,1138,978,4
,,Щука с/м средн,1224,1077,1
,,Щука х/к кусок,2080,1768,2
,,Щука х/к филе с насечкой,2251,2003,2
,,Язь х/к пласт,4495,3910,4
