продукт,цена,опт,вес
Брюшки лосося ,417,362,1
Вобла,4539,3948,4
Вобла с/м пласт,2502,2176,3
Горбуша б/г ,2088,1837,4
Горбуша г/к кусок,2912,2591,2
Горбуша ПСГ ,2264,1947,3
Горбуша х/к теша,528,469,1
Горбуша х/к филе,2225,1913,2
Горбуша х/к филе в/у,2537,2181,4
Густера,3554,3020,3
Зубатка пестрая б/г ,4341,3863,4
Камбала б/г б/б ,2090,1839,2
Камбала б/г ж/п ,763,671,1
Камбала вял б/г,3942,3468,3
Камбала н/р б/б ,648,550,1
Камбала х/к б/г,423,372,1
Карась средний,575,494,1
Карп с/м ,2230,1940,4
Карп х/к пласт,1921,1632,2
Кета с/с ,1069,919,2
Кета х/к филе,1456,1237,2
Кета х\к теша в/у,839,713,2
Кижуч б/г ,3995,3555,4
Килька каспийская,702,617,4
Килька тушка с чесноком укропом,735,646,1
Корюшка вял. н/р,865,761,3
Корюшка с/м ,882,784,3
Корюшка х/к,1011,889,1
Красноперка с/м,3598,3058,4
Креветка королевская с/г,1895,1667,2
Креветки лангустины б/г ,1015,862,4
Креветки тигровые б/г ,788,685,1
Лещ вял. н/р,2254,1915,2
Лещ вял. потр,3583,3045,3
Лещ с/м ,1144,995,2
Линь,3139,2793,3
Масляная х/к филе,2652,2360,2
Минтай б/г,1261,1097,2
Минтай б/г,652,560,3
Мойва н/р ,2002,1721,2
Мойва т/о,1867,1586,3
Мойва тушка в масле с аром. копчения,3002,2551,3
Мойва тушка в масле с луком,2242,1995,2
Мойва тушка в масле с чесноком и  укропом,145,123,1
Мойва х/к,3822,3363,4
Мясо хека (колбаса),1323,1177,4
Окунь,402,345,2
Окунь б/г,4233,3598,4
Окунь вял. н/р,1685,1482,2
Палтус б/г,593,515,2
Пелядь крупная х/к потр,976,829,3
Пелядь с/с,4743,4173,4
Плотва  вял.н/р,1886,1659,2
Путассу  х/к потр,4158,3700,4
Ряпушка с/м,560,487,1
Сазан с кожей,224,197,1
Сельдь атл. с/с,1487,1323,3
Сельдь олют. п/п,4454,3919,4
Сельдь т/о х/к  в\у,4618,4110,4
Семга с\с брюшки,1011,889,2
Сзан,361,306,2
Скумбрия атл. с/г,3835,3374,4
Скумбрия г/к потр,977,830,1
Скумбрия н/р с/с,1713,1524,3
Скумбрия х/к б/г,827,719,2
Скумбрия х/к с/г,454,399,3
Скумбрия х\к в\у с/г,960,835,3
Сом потрошеный,4211,3621,4
Сом с кожей,886,779,2
Судак,5860,5156,4
Судак крупный ,1621,1442,3
Треска б/г,1592,1385,2
Филе гигантского кальмара ,639,568,1
Филе горбуши н/ш,2819,2396,3
Филе масляной н/ш ,1132,1007,1
Филе минтая н/ш б/к ,1179,1013,2
Филе сазана ,3065,2635,3
Филе судака н/ш ,3746,3333,4
Филе тилапии б/ш ,3152,2710,3
Форель б/г,2440,2074,3
Форель г/к потр,2153,1830,2
Форель с/с кусок,2711,2358,3
Форель х/к пласт (речн. крупная),412,366,3
Форель х/к теша (речн.),1814,1541,2
Хек тушка ,2310,1986,2
Щука без кожи,862,741,4
Щука с/м средн,4176,3591,4
Щука х/к филе с насечкой,1290,1122,1
