№,продукт,фасовка,розница,опт
1,Брюшки лосося ,1,364,320
2,Вобла,2,1991,1692
3,Вобла с/м пласт,2,1936,1664
4,Горбуша б/г ,4,2440,2074
5,Горбуша г/к кусок,4,5171,4602
6,Горбуша н/р ,1,362,322
7,Горбуша ПСГ ,2,1543,1311
8,Горбуша с/с ,4,2373,2111
9,Горбуша х/к спинка,4,4520,3887
10,Горбуша х/к теша,1,594,522
11,Горбуша х/к филе,1,1269,1104
12,Горбуша х/к филе в/у,1,676,601
13,Горбуша х\к спинка в\у,1,697,606
14,Горбуша х\к теша в\у,4,3608,3138
15,Жерих,1,469,408
16,Зубатка пестрая б/г ,2,1960,1666
17,Камбала б/г б/б ,2,2112,1816
18,Камбала б/г ж/п ,4,3520,2992
19,Камбала н/р б/б ,2,1539,1308
20,Карась,1,970,824
21,Карась средний,4,2250,1980
22,Карп х/к пласт,3,3037,2611
23,Кета с/с ,3,1603,1410
24,Кета х/к теша,4,5096,4382
25,Кета х/к филе,3,2061,1793
26,Кижуч б/г ,2,1997,1737
27,Килька п/п ,2,281,244
28,Килька тушка с аром. копчения,2,1630,1450
29,Корюшка вял. н/р,1,304,261
30,Корюшка с/м ,3,934,793
31,Корюшка х/к,1,958,852
32,Краснопёрка,4,2922,2483
33,Креветка королевская с/г,4,4022,3499
34,Креветки лангустины б/г ,1,212,184
35,Креветки тигровые б/г ,2,1729,1486
36,Лещ вял. н/р,4,5241,4559
37,Лещ с/м ,1,390,331
38,Лещ х/к пласт,3,3537,3147
39,Масляная х/к филе,1,1197,1053
40,Минтай б/г,4,2470,2124
41,Минтай б/г,1,217,193
42,Мойва атл. н/р ,2,2480,2182
43,Мойва н/р ,3,3177,2827
44,Мойва т/о,1,615,528
45,Палтус б/г,3,931,791
46,Пелядь крупная х/к потр,1,329,292
47,Пелядь с/с,1,1089,958
48,Плотва  вял.н/р,4,3974,3536
49,Путассу  х/к потр,4,4069,3458
50,Ряпушка х/к  3кг,3,3034,2578
51,Сазан с кожей,1,242,215
52,Сайра х/к,2,1489,1295
53,Сельдь атл. с/с,2,991,842
54,Сельдь олют с/с,1,784,666
55,Сельдь олют. п/п,1,1191,1036
56,Сельдь т/о п/п,2,2294,2018
57,Сельдь т/о с/с,2,383,340
58,Сельдь х/к олюторская,4,5132,4362
59,Сельдь х/к т/о,2,996,876
60,Семга с\с брюшки,4,1957,1683
61,Сзан,2,332,292
62,Скумбрия г/к потр,1,1044,908
63,Скумбрия н/р с/с,3,1639,1425
64,Скумбрия х/к с/г,2,295,259
65,Скумбрия х\к в\у с/г,4,1219,1084
66,Сом потрошеный,2,1993,1733
67,Треска б/г,2,1412,1228
68,Филе горбуши н/ш,4,4284,3727
69,Филе минтая н/ш б/к ,2,1059,931
70,Филе пангасиуса б/ш ,3,287,249
71,Филе судака н/ш ,2,1771,1540
72,Форель б/г,2,1590,1351
73,Форель г/к потр,2,2483,2135
74,Форель с/м н/р ,3,3483,2960
75,Хек тушка ,2,2310,2009
76,Хек тушка ,3,968,832
77,Щука  вял.кусок,3,902,784
78,Щука  вял.потр,1,717,623
79,Щука без кожи,2,452,388
80,Щука без кожи,4,3848,3386
81,Щука с/м средн,1,1095,952
82,Щука х/к кусок,3,3326,2960
83,Щука х/к филе с насечкой,2,2691,2314
