№,продукт,фасовка,розница,опт
1,Брюшки лосося ,1,1,1
2,Вобла,1,1,1
3,Вобла с/м пласт,1,1,1
4,Горбуша б/г ,1,1,1
5,Горбуша г/к кусок,1,1,1
6,Горбуша н/р ,1,1,1
7,Горбуша ПСГ ,1,1,1
8,Горбуша с/с ,1,1,1
9,Горбуша х/к спинка,1,1,1
10,Горбуша х/к теша,1,1,1
11,Горбуша х/к филе,1,1,1
12,Горбуша х/к филе в/у,1,1,1
13,Горбуша х\к спинка в\у,1,1,1
14,Горбуша х\к теша в\у,1,1,1
15,Жерих,1,1,1
16,Зубатка пестрая б/г ,1,1,1
17,Камбала б/г б/б ,1,1,1
18,Камбала б/г ж/п ,1,1,1
19,Камбала н/р б/б ,1,1,1
20,Карась,1,1,1
21,Карась средний,1,1,1
22,Карп х/к пласт,1,1,1
23,Кета с/с ,1,1,1
24,Кета х/к теша,1,1,1
25,Кета х/к филе,1,1,1
26,Кижуч б/г ,1,1,1
27,Килька п/п ,1,1,1
28,Килька тушка с аром. копчения,1,1,1
29,Корюшка вял. н/р,1,1,1
30,Корюшка с/м ,1,1,1
31,Корюшка х/к,1,1,1
32,Краснопёрка,1,1,1
33,Креветка королевская с/г,1,1,1
34,Креветки лангустины б/г ,1,1,1
35,Креветки тигровые б/г ,1,1,1
36,Лещ вял. н/р,1,1,1
37,Лещ с/м ,1,1,1
38,Лещ х/к пласт,1,1,1
39,Масляная х/к филе,1,1,1
40,Минтай б/г,1,1,1
41,Минтай б/г,1,1,1
42,Мойва атл. н/р ,1,1,1
43,Мойва н/р ,1,1,1
44,Мойва т/о,1,1,1
45,Палтус б/г,1,1,1
46,Пелядь крупная х/к потр,1,1,1
47,Пелядь с/с,1,1,1
48,Плотва  вял.н/р,1,1,1
49,Путассу  х/к потр,1,1,1
50,Ряпушка х/к  3кг,1,1,1
51,Сазан с кожей,1,1,1
52,Сайра х/к,1,1,1
53,Сельдь атл. с/с,1,1,1
54,Сельдь олют с/с,1,1,1
55,Сельдь олют. п/п,1,1,1
56,Сельдь т/о п/п,1,1,1
57,Сельдь т/о с/с,1,1,1
58,Сельдь х/к олюторская,1,1,1
59,Сельдь х/к т/о,1,1,1
60,Семга с\с брюшки,1,1,1
61,Сзан,1,1,1
62,Скумбрия г/к потр,1,1,1
63,Скумбрия н/р с/с,1,1,1
64,Скумбрия х/к с/г,1,1,1
65,Скумбрия х\к в\у с/г,1,1,1
66,Сом потрошеный,1,1,1
67,Треска б/г,1,1,1
68,Филе горбуши н/ш,1,1,1
69,Филе минтая н/ш б/к ,1,1,1
70,Филе пангасиуса б/ш ,1,1,1
71,Филе судака н/ш ,1,1,1
72,Форель б/г,1,1,1
73,Форель г/к потр,1,1,1
74,Форель с/м н/р ,1,1,1
75,Хек тушка ,1,1,1
76,Хек тушка ,1,1,1
77,Щука  вял.кусок,1,1,1
78,Щука  вял.потр,1,1,1
79,Щука без кожи,1,1,1
80,Щука без кожи,1,1,1
81,Щука с/м средн,1,1,1
82,Щука х/к кусок,1,1,1
83,Щука х/к филе с насечкой,1,1,1
